WARD 7, PRECINCT 5 300 2,030 87 WARD 7, PRECINCT 5 213 213 28
WARD 7, PRECINCT 6 298 1,644 86 WARD 7, PRECINCT 6 212 212 41
WARD 7, PRECINCT 7 145 1,403 20 WARD 7, PRECINCT 7 125 125 3
WARD 7, PRECINCT 8 304 1,563 73 WARD 7, PRECINCT 8 231 231 23
WARD 7, PRECINCT 9 234 1,224 72 WARD 7, PRECINCT 9 162 162 18
WARD 7, PRECINCT 10 219 1,506 31 WARD 7, PRECINCT 10 188 188 12
WARD 8, PRECINCT 1 466 2,505 59 WARD 8, PRECINCT 1 407 407 28
WARD 8, PRECINCT 2 334 1,698 77 WARD 8, PRECINCT 2 257 257 30
WARD 8, PRECINCT 3 287 1,814 34 WARD 8, PRECINCT 3 253 253 13
WARD 8, PRECINCT 4 162 1,559 21 WARD 8, PRECINCT 4 141 141 11
WARD 8, PRECINCT 5 300 1,904 30 WARD 8, PRECINCT 5 270 270 10
WARD 8, PRECINCT 6 63 891 14 WARD 8, PRECINCT 6 49 49 8
WARD 9, PRECINCT 1 466 2,152 58 WARD 9, PRECINCT 1 408 408 28
WARD 9, PRECINCT 2 373 1,738 63 WARD 9, PRECINCT 2 310 310 39

Page: 12 of 53 11/5/2025 10:30:11 AM
=)

% 73 = d 3

6 ® ° zs 8) 35

8 BS 2 5 =| 2
Precinct = 2 8 = Precinct = ke) iS =
WARD 9, PRECINCT 3 319 1,974 37 WARD 9, PRECINCT 3 282 282 10
WARD 9, PRECINCT 4 328 1,796 33 WARD 9, PRECINCT 4 295 295 12
WARD 9, PRECINCT 5 419 1,577 43 WARD 9, PRECINCT 5 376 376 12
WARD 9, PRECINCT 6 373 1,834 51 WARD 9, PRECINCT 6 322 322 17
WARD 9, PRECINCT 7 89 811 7 WARD 9, PRECINCT 7 82 82 2
WARD 10, PRECINCT 1 227 964 21 WARD 10, PRECINCT 1 206 206 3
WARD 10, PRECINCT 2 160 1,007 16 WARD 10, PRECINCT 2 144 144 5
WARD 10, PRECINCT 3 123 863 20 WARD 10, PRECINCT 3 103 103 4
WARD 10, PRECINCT 4 305 1,939 28 WARD 10, PRECINCT 4 277 277 6
WARD 10, PRECINCT 5 171 996 30 WARD 10, PRECINCT 5 141 141 14
WARD 10, PRECINCT 6 217 1,300 19 WARD 10, PRECINCT 6 198 198 7
WARD 10, PRECINCT 7 287 1,887 20 WARD 10, PRECINCT 7 267 267 7
WARD 10, PRECINCT 8 449 2,014 30 WARD 10, PRECINCT 8 419 419 9
WARD 10, PRECINCT 9 660 2,051 36 WARD 10, PRECINCT 9 624 624 15
WARD 11, PRECINCT 1 267 950 32 WARD 11, PRECINCT 1 235 235 7
WARD 11, PRECINCT 2 395 1,700 46 WARD 11, PRECINCT 2 349 349 14
WARD 11, PRECINCT 3 230 1,304 24 WARD 11, PRECINCT 3 206 206 9
WARD 11, PRECINCT 4 487 2,263 42 WARD 11, PRECINCT 4 445 445 20
WARD 11, PRECINCT 5 393 1,739 36 WARD 11, PRECINCT 5 357 357 17
WARD 11, PRECINCT 6 465 1,291 38 WARD 11, PRECINCT 6 427 427 11
WARD 11, PRECINCT 7 587 1,820 50 WARD 11, PRECINCT 7 537 537 14
WARD 11, PRECINCT 8 781 2,440 74 WARD 11, PRECINCT 8 707 707 27
WARD 11, PRECINCT 9 446 1,070 24 WARD 11, PRECINCT 9 422 422 8
WARD 11, PRECINCT 10 474 1,340 25 WARD 11, PRECINCT 10 449 449 11
WARD 12, PRECINCT 1 368 1,839 49 WARD 12, PRECINCT 1 319 319 14
WARD 12, PRECINCT 2 391 2,251 34 WARD 12, PRECINCT 2 357 357 7
WARD 12, PRECINCT 3 200 974 25 WARD 12, PRECINCT 3 175 175 4
WARD 12, PRECINCT 4 237 1,355 32 WARD 12, PRECINCT 4 205 205 8
WARD 12, PRECINCT 5 185 748 33 WARD 12, PRECINCT 5 152 152 6
WARD 12, PRECINCT 6 213 1,063 20 WARD 12, PRECINCT 6 193 193 5
WARD 12, PRECINCT 7 387 2,638 44 WARD 12, PRECINCT 7 343 343 7
WARD 12, PRECINCT 8 149 885 16 WARD 12, PRECINCT 8 133 133 4
WARD 12, PRECINCT 9 215 1,099 37 WARD 12, PRECINCT 9 178 178 13
WARD 13, PRECINCT 1 236 1,527 14 WARD 13, PRECINCT 1 222 222 5

Page: 13 of 53 11/5/2025 10:30:11 AM
=)

% 73 = d 3

6 ® ° zs 8) 35

@ 2G = x a a YL
Precinct = 2 8 = Precinct = ke) iS =
WARD 13, PRECINCT 2 92 693 10 WARD 13, PRECINCT 2 82 82 4
WARD 13, PRECINCT 3 214 1,733 20 WARD 13, PRECINCT 3 194 194 8
WARD 13, PRECINCT 4 200 1,227 12 WARD 13, PRECINCT 4 188 188 4
WARD 13, PRECINCT 5 211 1,158 31 WARD 13, PRECINCT 5 180 180 7
